Date,Open,High,Low,Close
2018-02-02,233,236.3,231.19,231.88
2018-02-01,235.26,237.82,233.83,235.22
2018-01-31,242.84,247,235.76,236.78
2018-01-30,232.88,242.74,232.1,236.65
2018-01-29,249.28,250.79,247.4,247.41
2018-01-26,245,248.735,244.46,248.47
2018-01-25,244.75,246.19,243.9,245.18
2018-01-24,246.01,247.3137,243.71,244.85
2018-01-23,242.99,246.98,242.41,245.21
2018-01-22,243.59,243.795,241.36,243.56
2018-01-19,244.18,244.35,241.07,243.35
2018-01-18,239.26,243.9,238.5501,243.16
2018-01-17,234.67,238.96,233.85,238.43
2018-01-16,233.37,235,231.25,232.9
2018-01-12,227.45,229.9,226.52,228.64
2018-01-11,224.18,225.92,223.7,225.39
2018-01-10,224.83,225.01,223.03,224.2
2018-01-09,224.76,226.63,223.3,225.88
2018-01-08,228.13,228.71,224.61,224.76
2018-01-05,225.19,229.05,224.72,228.73
2018-01-04,224.34,226.1,224.17,224.45
2018-01-03,221.62,223.81,220.52,223.48
2018-01-02,221.02,222.45,220,221.16
2017-12-29,223.95,223.95,220.46,220.46
2017-12-28,221.46,222.79,220.15,222.77
2017-12-27,219.98,221.44,219.25,220.42
2017-12-26,219.09,220.42,219.09,219.6
2017-12-22,221.01,222.35,218.45,220
2017-12-21,222.9,223.94,221.37,221.69
2017-12-20,222.745,224.89,221.73,222.38
2017-12-19,222.76,223.79,220.85,222.04
2017-12-18,223.645,224.81,222.19,222.67
2017-12-15,222.96,223.75,220.63,221.82
2017-12-14,225.5,226.97,221.01,221.25
2017-12-13,221.74,224.95,221.23,224.35
2017-12-12,222.31,223.42,221.26,222.49
2017-12-11,224.16,224.82,222.04,222.77
2017-12-08,220.55,224.33,220.22,223.91
2017-12-07,220.59,220.61,218.19,220.15
2017-12-06,221.02,221.96,219.03,219.94
2017-12-05,221,223.7199,219.16,220.09
2017-12-04,229.26,231.77,221.4,221.42
2017-12-01,228.89,229.22,221.081,226.78
2017-11-30,223.83,228.75,222.29,228.17
2017-11-29,217.7,224.27,217.36,222.88
2017-11-28,213.88,216.31,212.51,216.14
2017-11-27,212.25,214.25,211.81,212.4
2017-11-24,212,212.93,211,212.51
2017-11-22,212.26,212.805,210.76,211.22
2017-11-21,211.13,212.85,210.75,212.6
2017-11-20,210,210.68,209.58,210.25
2017-11-17,210.46,211.455,209.15,209.9
2017-11-16,210.38,212.01,209.9,211.13
2017-11-15,210.88,211.98,209.62,209.86
2017-11-14,212.21,212.7,210.92,211.71
2017-11-13,210.31,213.535,209.94,212.66
2017-11-10,211.46,211.81,210.2,211.07
2017-11-09,210.59,211.76,209.13,211.56
2017-11-08,212.08,212.925,210.7,210.77
2017-11-07,212.74,213.54,210.89,212.7
2017-11-06,211.91,213.93,211.8,212.12
2017-11-03,210.72,213.83,210.1,212.87
2017-11-02,210.11,211.485,209.01,211.1
2017-11-01,211.62,212.63,208.92,209.53
2017-10-31,209.39,210.52,207.8,210.22
2017-10-30,212.21,212.77,209.38,209.39
2017-10-27,209.15,212.77,208.545,212.6
2017-10-26,207.92,211.7,207.58,209.15
2017-10-25,208.32,209.14,207.071,207.53
2017-10-24,206.38,208.23,205.88,208.15
2017-10-23,207.58,208.45,205.8,207.01
2017-10-20,204.26,208.21,203.69,207.49
2017-10-19,205.47,205.745,202.7,203.25
2017-10-18,203.8,207.8,203.68,205.23
2017-10-17,196.8,206.62,196.37,203.89
2017-10-16,192.48,193.32,191.36,193.2
2017-10-13,189.59,192.71,186,192.52
2017-10-12,195.01,195.36,192.73,192.92
2017-10-11,194.63,196.07,193.59,195.26
2017-10-10,196.26,196.43,193.67,194.68
2017-10-09,198.01,198.32,195.78,196.3
2017-10-06,197.9,199.99,197.51,198.06
2017-10-05,199.93,199.93,196.56,197.9
2017-10-04,199.03,200.73,198.43,200.48
2017-10-03,197.5,199.4425,197.26,198.63
2017-10-02,196.59,197.91,196.33,197.44
2017-09-29,195.82,196.09,194.48,195.85
2017-09-28,194.25,196.545,193.51,196.1
2017-09-27,193.2,195.615,191.74,194.49
2017-09-26,192.31,194.36,192.04,192.7
2017-09-25,193.27,196.31,190.92,191.75
2017-09-22,195.11,195.87,188.25,193.03
2017-09-21,195.63,196.13,194.9,195.21
2017-09-20,195.02,195.84,194.06,195.75
2017-09-19,198.44,198.6,192.39,194.65
2017-09-18,198.17,198.82,197.51,198.19
2017-09-15,198.52,199.71,197.2,198.18
2017-09-14,197.95,198.38,197.09,197.73
2017-09-13,197.8,200.76,197.78,198.33
2017-09-12,199.44,199.47,196.91,197.47
2017-09-11,199.25,200.42,198.78,199.58
2017-09-08,198.43,198.86,197,197.75
2017-09-07,197.77,199.48,197.07,198.17
2017-09-06,199.54,199.99,197.63,198.38
2017-09-05,199.2,200.44,198.71,199.31
2017-09-01,199.79,199.99,198.36,199.75
2017-08-31,196.93,199.49,196.39,198.9
2017-08-30,196.38,196.88,195.2,195.88
2017-08-29,194.83,197.04,194.33,196.73
2017-08-28,194.59,195.81,194.36,195.09
2017-08-25,195.33,195.54,194.14,194.36
2017-08-24,194.55,195.07,194.21,194.75
2017-08-23,194.5,194.59,193.72,194.24
2017-08-22,192.15,194.96,191.56,194.79
2017-08-21,190.88,192.31,190.88,192.03
2017-08-18,192.84,193.2,190.63,190.82
2017-08-17,193.75,194.24,192.66,192.7
2017-08-16,194.81,195.27,192.83,193.77
2017-08-15,194.47,195.01,193.81,194.5
2017-08-14,194.6,194.75,192.9,193.71
2017-08-11,193.91,194.54,192.66,193.02
2017-08-10,194.26,194.3876,192.4,192.57
2017-08-09,194.9,195.36,194.165,194.83
2017-08-08,194.68,194.99,194.08,194.9
2017-08-07,194.81,195.41,193.9,194.78
2017-08-04,194.95,196.04,194.6,194.88
2017-08-03,193.26,194.96,193.01,194.77
2017-08-02,192.14,193.45,192.14,193
2017-08-01,193.4,193.4,191.6201,192.23
2017-07-31,191.59,192.61,191.14,191.81
2017-07-28,189.11,191.244,187.6,191.15
2017-07-27,190.24,190.49,188.46,188.93
2017-07-26,190.02,191.53,189.38,190.75
2017-07-25,192.13,192.48,190.3,190.4
2017-07-24,191.79,192.17,190.64,190.89
2017-07-21,191.38,193,190.6001,191.78
2017-07-20,189.41,191.92,188.92,191.5
2017-07-19,187.51,189.41,187.51,189.19
2017-07-18,186.95,187.2,183.86,186.85
2017-07-17,187.07,187.245,185.76,186.35
2017-07-14,185.81,187.13,184.77,186.9
