,text,polarity,subjectivity,date,sentiment
0,Omers Administration Has Lifted By $1.52 Million Its Coca Cola Co $KO Position https://t.co/dwcb1yoCEO,0.0,0.0,2018-02-03 19:27:49,neutral
1,"RT @firestone_brian: #Wellsfargo Gets Sanctioned and Curbed By the Fed But Will They Clean Their Swamp That Is Their Pharma Analyst, David…",0.366666666667,0.7,2018-02-03 18:51:27,positive
2,"Thompson Investment Management Cut Coca Cola Co $KO Stake by $422,685 https://t.co/PXbLtvbOFU",0.0,0.0,2018-02-03 18:33:10,neutral
3,"RT @firestone_brian: #Wellsfargo Gets Sanctioned and Curbed By the Fed But Will They Clean Their Swamp That Is Their Pharma Analyst, David…",0.366666666667,0.7,2018-02-03 18:30:25,positive
4,Pinnacle Associates Ltd. Has $5.13 Million Stake in The Coca-Cola Co $KO https://t.co/2uKq1u75WE,0.0,0.0,2018-02-03 18:25:25,neutral
5,The Coca-Cola Co $KO Position Cut by Fiduciary Group LLC https://t.co/HJuxw2mrEc,0.0,0.0,2018-02-03 18:25:13,neutral
6,Pinnacle Financial Partners Has Boosted Coca Cola Co $KO Holding https://t.co/14Qfgkg3YR,0.0,0.0,2018-02-03 17:39:24,neutral
7,"RT @NYSE: This Opening Bell with @Dietcoke was a little feisty and a little twisted, but in the end helped us find our zest self (NYSE: $KO…",-0.291666666667,0.666666666667,2018-02-03 16:40:53,negative
8,Coca Cola Co $KO Stock Rose While Ycg Cut Its Stake https://t.co/NSWcKnIulq,0.6,0.95,2018-02-03 16:40:45,positive
9,"The Economy is Booming, Unemployment is Low, Stock Mkt is @ All Time Highs 
&amp; I Can't Feel It
 $aapl $amzn $agn… https://t.co/OeJI8LK5MW",0.0,0.3,2018-02-03 16:20:58,neutral
10,Coca $KO Holder Armstrong Henry H Associates Has Trimmed Position as Valuation Rose https://t.co/zblDwQ6ZO8,0.6,0.95,2018-02-03 16:18:04,positive
11,Sva Plumb Wealth Management Lowered Its Holding in Coca Cola Co Com $KO by $1.65 Million as Valuation Rose ...,0.6,0.95,2018-02-03 16:13:24,positive
12,RT @kingoption3: $BTC $spx $nasdaq $ftse $dax $cac $djia $c $XOM $amzn $googl $AVGO $AAPL $WFM $cvs $bac $WMT $COST $WFC $jnj $GE $GS $tsla…,0.0,0.0,2018-02-03 15:27:04,neutral
13,Commerzbank Aktiengesellschaft FI Decreases Stake in The Coca-Cola Co $KO https://t.co/L7OnjEBZwm,0.0,0.0,2018-02-03 15:24:45,neutral
14,RT @kingoption3: $BTC $spx $nasdaq $ftse $dax $cac $djia $c $XOM $amzn $googl $AVGO $AAPL $WFM $cvs $bac $WMT $COST $WFC $jnj $GE $GS $tsla…,0.0,0.0,2018-02-03 15:13:50,neutral
15,"As Coca $KO Shares Rose, Saratoga Research &amp; Investment Management Has Lowered Stake https://t.co/Iq6hDmWs3R",0.6,0.95,2018-02-03 15:13:49,positive
16,Big Call Buyers https://t.co/dJ2oMHMJQv $JPM $BAC $APO $AMGN $KO $AVGO $ROKU $AMT $AMED $MTG $TEVA $GRMN $VLO $LJPC $WMT $TDC $JD $VZ,0.0,0.1,2018-02-03 14:41:44,neutral
17,"Visionary Asset Management Position in Coca Cola Co $KO Has Trimmed by $387,225 as Share Value Rose ...",0.6,0.95,2018-02-03 14:31:50,positive
18,"RT @firestone_brian: #Wellsfargo Gets Sanctioned and Curbed By the Fed But Will They Clean Their Swamp That Is Their Pharma Analyst, David…",0.366666666667,0.7,2018-02-03 14:11:46,positive
19,"Howard Capital Management Position in Coca Cola Co $KO Has Upped by $398,025 https://t.co/rALMQFGhFB",0.0,0.0,2018-02-03 12:46:14,neutral
20,"#Wellsfargo Gets Sanctioned and Curbed By the Fed But Will They Clean Their Swamp That Is Their Pharma Analyst, Dav… https://t.co/IeBUH7XRE9",0.366666666667,0.7,2018-02-03 12:30:20,positive
21,The Coca-Cola $KO versus Long Blockchain $LBCC Financial Review https://t.co/J4OnPLcVis,-0.025,0.2,2018-02-03 12:21:39,negative
22,RT @kingoption3: $BTC $spx $nasdaq $ftse $dax $cac $djia $c $XOM $amzn $googl $AVGO $AAPL $WFM $cvs $bac $WMT $COST $WFC $jnj $GE $GS $tsla…,0.0,0.0,2018-02-03 12:11:29,neutral
23,$BTC $spx $nasdaq $ftse $dax $cac $djia $c $XOM $amzn $googl $AVGO $AAPL $WFM $cvs $bac $WMT $COST $WFC $jnj $GE… https://t.co/UBnigmYs2u,0.0,0.0,2018-02-03 12:09:56,neutral
24,"As Coca Cola $KO Shares Rose, Halsey Associates Cut Its Holding https://t.co/uXMy8bIJ6B",0.6,0.95,2018-02-03 11:47:01,positive
25,Coca $KO Stake Held by Rbo &amp; Co Llc https://t.co/GWHma8f4wa,0.0,0.0,2018-02-03 11:46:13,neutral
26,The Coca-Cola Co $KO Position Cut by Pinnacle Associates Ltd. https://t.co/M3Ar3Eonpd,0.0,0.0,2018-02-03 11:15:33,neutral
27,"Fiduciary Group LLC Sells 10,518 Shares of The Coca-Cola Co $KO https://t.co/aeFGKIn77e",0.0,0.0,2018-02-03 10:39:15,neutral
28,Coca Cola Co $KO Holding Has Upped by Findlay Park Partners Llp https://t.co/aR5f6FrXc7,0.0,0.0,2018-02-03 10:18:15,neutral
29,"$AAPL $AMZN $KO $PEP $XRX:

Big Bounces Follow Big Market Selloffs; Who’s the Bad Apple of …:

https://t.co/sFDpUadSDr",-0.233333333333,0.288888888889,2018-02-03 10:05:06,negative
30,It's good to buy and hodl $KO https://t.co/NwLCcVLxok,0.7,0.6,2018-02-03 07:14:08,positive
31,It's good to buy and hodl - $KO chart https://t.co/tv8jLvd40U,0.7,0.6,2018-02-03 07:14:08,positive
32,"RT @lolaperez0211: Market cap of the world’s most valuable companies

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $XOM $GOO…",0.5,0.5,2018-02-03 06:44:54,positive
33,Traders Buy Shares of The Coca-Cola $KO on Weakness https://t.co/2NM9D9oH4o,0.0,0.0,2018-02-03 04:03:12,neutral
34,$KO open interest for maturity 02/09/2018. High put=46.00 High call=49.00 #maxpain #options https://t.co/iWALG6fr2k https://t.co/9oCIHdiXj4,0.106666666667,0.526666666667,2018-02-03 02:37:24,positive
35,"Did Anybody @ #Wellsfargo Ask Pharma Analyst, David Maris Why He Deleted His Tweet About Mike Pearson?Would They Ha… https://t.co/7wFrE6nnau",0.0,0.0,2018-02-03 01:10:43,neutral
36,Life Insurance Exam: Top 10 Ways To Ace Your Test https://t.co/Bgl2o6ko5S #lifeinsurance $SBUX $KO $PEP $SPY,0.5,0.5,2018-02-03 01:05:26,positive
37,K we know a bag of popcorn is .03c and a coke $ko is .07c yet $amc markers it up to $10-14 for this crap. $HMNY,-0.8,0.8,2018-02-03 00:50:28,negative
38,RT @CannaInvestor: Soda &amp; Sativa: How This Company’s Strategy Resembles Coca Cola 🌿 $MRMD $KO @MariMedInc @CocaCola #Marijuana #Cannabis #S…,0.0,0.0,2018-02-03 00:16:46,neutral
