Date,Open,High,Low,Close
2017-12-29,45.7,46.18,45.6925,45.88
2017-12-28,45.91,45.99,45.64,45.72
2017-12-27,45.9,45.94,45.715,45.93
2017-12-26,45.7,45.855,45.61,45.81
2017-12-22,45.64,45.73,45.55,45.59
2017-12-21,46.15,46.22,45.56,45.6
2017-12-20,46.18,46.3,45.955,46.08
2017-12-19,46.08,46.38,45.91,46.13
2017-12-18,46.23,46.38,45.91,45.93
2017-12-15,46.29,46.42,46.04,46.19
2017-12-14,45.9,46.17,45.8,46.03
2017-12-13,45.45,46.05,45.4,45.9
2017-12-12,45.25,45.52,45.06,45.29
2017-12-11,45.18,45.41,44.92,45.33
2017-12-08,45.7,45.73,45.05,45.31
2017-12-07,46.29,46.32,45.72,45.78
2017-12-06,46.33,46.48,46.2612,46.45
2017-12-05,46.25,46.44,46.06,46.26
2017-12-04,45.99,46.378,45.77,46.23
2017-12-01,45.8,46.02,45.21,45.97
2017-11-30,45.14,45.84,45.03,45.77
2017-11-29,45.77,45.82,45.21,45.5
2017-11-28,45.99,46.15,45.78,45.83
2017-11-27,45.88,45.99,45.81,45.9
2017-11-24,45.89,46.045,45.86,45.88
2017-11-22,45.89,45.93,45.54,45.84
2017-11-21,45.56,45.95,45.54,45.78
2017-11-20,45.65,45.88,45.42,45.46
2017-11-17,46.34,46.38,45.25,45.71
2017-11-16,46.95,46.98,46.51,46.55
2017-11-15,47.32,47.46,46.78,46.81
2017-11-14,46.71,47.48,46.62,47.43
2017-11-13,46.6,46.815,46.54,46.72
2017-11-10,46.2,46.64,46.135,46.54
2017-11-09,46.12,46.385,46.02,46.23
2017-11-08,45.98,46.19,45.87,46.18
2017-11-07,45.41,45.95,45.31,45.94
2017-11-06,45.91,45.92,45.42,45.47
2017-11-03,45.97,46.155,45.9166,45.97
2017-11-02,45.81,45.95,45.745,45.88
2017-11-01,45.75,46.09,45.63,45.8
2017-10-31,45.92,46.17,45.84,45.98
2017-10-30,46,46.07,45.82,45.86
2017-10-27,46.13,46.33,45.91,46.07
