Date,Open,High,Low,Close
2017-12-29,108.05,108.34,107.51,107.51
2017-12-28,108,108.05,107.06,107.77
2017-12-27,108.42,108.55,107.455,107.64
2017-12-26,108.49,109.37,107.89,108.12
2017-12-22,109.4,109.685,108.45,108.67
2017-12-21,109.52,111.09,109.1892,109.57
2017-12-20,111.625,112.3,109.69,109.69
2017-12-19,111.05,112.39,110.77,111.81
2017-12-18,111.85,111.99,110.305,111.03
2017-12-15,111.805,112,110.6,111.27
2017-12-14,107.75,111.54,107.2,110.57
2017-12-13,108.15,108.19,106.75,107.61
2017-12-12,107.6,107.83,106.585,107.43
2017-12-11,104.87,106.84,104.77,106.83
2017-12-08,104.91,104.98,104.0775,104.23
2017-12-07,105.74,106,104.49,105.26
2017-12-06,107.17,107.99,105.36,105.46
2017-12-05,109.53,110.04,106.52,107.22
2017-12-04,106.5,112.67,106.5,110.22
2017-12-01,104.58,105.85,103.87,105.25
2017-11-30,105.36,105.71,104.465,104.82
2017-11-29,103.5,106.26,103.43,105.24
2017-11-28,102.56,103.875,102.17,103.41
2017-11-27,102.63,102.97,102.38,102.79
2017-11-24,102.91,102.92,102.45,102.64
2017-11-22,103.22,103.32,102.69,102.74
2017-11-21,102.97,103.17,102.79,103
2017-11-20,103.42,103.42,102.7,102.75
2017-11-17,103.22,103.99,102.971,103.44
2017-11-16,103.63,103.98,102.76,103.6
2017-11-15,102.75,103.96,102.4488,103.69
2017-11-14,104.57,104.57,103,103.17
2017-11-13,104.14,105.14,103.98,104.74
2017-11-10,104.99,106.24,104.08,104.78
2017-11-09,100.83,103.91,100.8,102.68
2017-11-08,101.88,102,100.42,101.18
2017-11-07,101.29,102.9,100.74,101.61
2017-11-06,98.37,101.13,98.35,100.64
2017-11-03,98.36,99.3799,97.9,98.64
2017-11-02,98.87,99.12,98.015,98.35
2017-11-01,98.13,99.46,98,99.03
2017-10-31,97.94,98.086,97.3842,97.81
2017-10-30,98.12,98.33,97.7025,98.04
2017-10-27,97.9,98.36,96.89,98.31
