Date,Open,High,Low,Close
2017-12-29,99.4,99.69,98.75,98.75
2017-12-28,99.52,99.62,99.12,99.4
2017-12-27,99.56,99.6,98.8299,99.26
2017-12-26,98.35,99.44,98.35,99.16
2017-12-22,98.14,98.42,97.68,98.21
2017-12-21,99.32,99.33,97.98,98.06
2017-12-20,99.48,99.65,98.45,98.75
2017-12-19,99.78,99.91,98.29,98.8
2017-12-18,97.44,98.17,97.36,97.9
2017-12-15,98.04,98.49,96.91,97.11
2017-12-14,98.415,98.57,97.1,97.13
2017-12-13,96.66,97.91,96.55,97.76
2017-12-12,96.85,97.24,96.6,96.7
2017-12-11,96.44,97.27,96.29,96.93
2017-12-08,96.67,96.7,96.138,96.55
2017-12-07,97.06,97.58,96.65,96.78
2017-12-06,97.99,98.14,97.2401,97.28
2017-12-05,97,97.94,96.92,97.83
2017-12-04,97.73,97.96,96.675,97.01
2017-12-01,97.61,97.71,96.23,97.35
2017-11-30,98.09,98.44,96.51,97.23
2017-11-29,97.22,98.26,96.88,97.56
2017-11-28,96.59,96.885,95.82,96.77
2017-11-27,96.85,97.65,96.3,96.62
2017-11-24,96.87,97.23,96.53,96.62
2017-11-22,96.65,96.8099,96.11,96.41
2017-11-21,97.74,97.92,96.32,96.52
2017-11-20,96.44,97.64,95.76,97.48
2017-11-17,99.24,100.13,96.58,97.47
2017-11-16,95.12,99.68,94.72,99.62
2017-11-15,90.34,90.85,89.65,89.83
2017-11-14,90.7,91.2,90.18,91.09
2017-11-13,91.04,91.98,90.87,90.99
2017-11-10,90.24,91.69,90.2,90.92
2017-11-09,89.94,90.57,89.35,90.3
2017-11-08,89.11,90.42,89.1,90.26
2017-11-07,88.87,89.06,88.31,88.95
2017-11-06,89.42,89.68,88.68,88.7
2017-11-03,89.02,89.88,88.76,89.68
2017-11-02,88.28,89.1652,87.8,88.8
2017-11-01,87.07,88.395,87,87.94
2017-10-31,86.86,87.46,86.6,87.31
2017-10-30,87.94,87.95,86.391,86.95
2017-10-27,88.14,88.39,87.15,88.17
2017-10-26,88.66,89.11,88.02,88.62
2017-10-25,87.85,88.6,87.43,88.49
